PROJECT,github_stars,github_forks,github_contributors,github_commits,github_last_activity,twitter_followers,ecosystem_mentions,composite_score,github_stars_normalized,github_forks_normalized,github_contributors_normalized,github_commits_normalized
revoke-cash,705.0,251.0,30.0,1380.0,2025-04-02T08:18:47Z,,,38.16364643333813,8.612264842413877,4.3934885349203565,100.0,4.766839378238342
heyxyz,0.0,0.0,1.0,9.0,2017-05-23T04:39:01Z,,,0.9324283454861099,0.0,0.0,3.3333333333333335,0.0310880829015544
defi-llama,977.0,5713.0,30.0,28950.0,2025-04-02T09:35:00Z,,,62.05304817516354,11.93501099438065,100.0,100.0,100.0
idriss-crypto,0.0,0.0,1.0,1.0,2024-11-27T13:05:12Z,,,1.0791546792595927,0.0,0.0,3.3333333333333335,0.003454231433506045
poapin-glory-lab,,,,,,,,48.259764572055694,,,,
l2beat,568.0,495.0,30.0,6840.0,2025-04-02T09:55:44Z,,,37.411997468508936,6.938675787930613,8.664449501137755,100.0,23.626943005181346
hypercerts,95.0,30.0,10.0,630.0,2025-03-03T20:29:43Z,,,11.176500469342917,1.1605179574883948,0.5251181515841064,33.33333333333333,2.1761658031088085
rotki,3034.0,580.0,30.0,17100.0,2025-04-02T05:48:52Z,,,60.42124037437239,37.06327876862937,10.152284263959391,100.0,59.067357512953365
giveth,674.0,291.0,7.0,90.0,2025-03-30T11:42:04Z,,,11.902992458756188,8.233569508917665,5.093646070365832,23.333333333333332,0.31088082901554404
ethstaker,360.0,125.0,30.0,660.0,2025-03-28T14:55:20Z,,,32.513640506981496,4.397752259956023,2.18799229826711,100.0,2.2797927461139897
fundingthecommons,1.0,0.0,2.0,510.0,2024-01-22T20:59:48Z,,,2.253983136663557,0.012215978499877841,0.0,6.666666666666667,1.7616580310880827
tapexyz,4445.0,318.0,25.0,4290.0,2025-04-01T16:22:03Z,,,49.32248155969079,54.30002443195699,5.566252406791528,83.33333333333334,14.818652849740932
ethereum-attestation-service,274.0,97.0,5.0,690.0,2025-03-28T15:51:46Z,,,6.46778839598965,3.3471781089665282,1.6978820234552776,16.666666666666664,2.383419689119171
dappnode,601.0,107.0,21.0,420.0,2025-03-16T03:36:00Z,,,25.121664335425734,7.341803078426581,1.8729214073166462,70.0,1.450777202072539
tor-project,254.0,41.0,1.0,14.0,2025-01-19T17:43:04Z,,,2.2078138279500643,3.1028585389689716,0.7176614738316122,3.3333333333333335,0.04835924006908463
zaratandotworld,10.0,0.0,2.0,660.0,2025-04-01T20:46:35Z,,,2.462528520776846,0.1221597849987784,0.0,6.666666666666667,2.2797927461139897
jobstash,2.0,0.0,1.0,3.0,2023-10-08T19:55:09Z,,,1.1013735639836322,0.024431956999755682,0.0,3.3333333333333335,0.010362694300518135
ethers-io,8186.0,1948.0,1.0,750.0,2025-04-02T07:44:05Z,,,47.98374345735366,100.0,34.09767197619465,3.3333333333333335,2.5906735751295336
wevm,6254.0,1170.0,30.0,1740.0,2025-04-02T00:23:55Z,,,61.83158010417261,76.39872953823601,20.47960791178015,100.0,6.010362694300518
0xfacet,106.0,19.0,3.0,1230.0,2025-01-23T09:22:37Z,,,4.665460285698859,1.294893720987051,0.3325748293366007,10.0,4.248704663212435
shapeshift,4005.0,205.0,3.0,2730.0,2025-04-01T09:45:03Z,,,22.50424875842053,48.92499389201075,3.5883073691580605,10.0,9.430051813471502
citizenwallet,18.0,6.0,8.0,1080.0,2025-03-31T08:23:20Z,,,8.718113672874427,0.21988761299780113,0.1050236303168213,26.666666666666668,3.730569948186528
blockscout,3898.0,2638.0,30.0,15090.0,2025-04-02T08:36:14Z,,,61.20715181346058,47.617884192523825,46.17538946262909,100.0,52.12435233160622
zkemail,393.0,84.0,30.0,1200.0,2025-03-30T21:00:43Z,,,33.78241528337815,4.800879550451991,1.470330824435498,100.0,4.145077720207254
kleo-network,7.0,10.0,7.0,270.0,2025-02-05T16:52:44Z,,,7.4643809272824635,0.08551184949914488,0.1750393838613688,23.333333333333332,0.932642487046632
carmineoptions,33.0,11.0,6.0,780.0,2025-04-01T00:59:30Z,,,6.611680109068917,0.4031272904959687,0.1925433222475057,20.0,2.6943005181347153
beacon-chain,210.0,65.0,13.0,330.0,2025-01-06T15:02:30Z,,,15.259860963224554,2.5653554849743463,1.1377559950988971,43.333333333333336,1.1398963730569949
glo-foundation,12.0,13.0,8.0,1470.0,2025-03-28T09:03:48Z,,,8.330545586365036,0.1465917419985341,0.22755119901977944,26.666666666666668,5.077720207253885
datonic,,,,,,,,53.99999712317496,,,,
zkp2p,,,,,,,,48.228235775283856,,,,
